season,week,celebrity_name,vote_share_mean,vote_share_std,certainty,eliminated_this_week
1,1,John O'Hurley,0.16154848223479795,0.1772902891205209,0.1141943512360839,False
1,1,Kelly Monaco,0.17191847196977922,0.17512905188412758,0.15937931214696532,False
1,1,Evander Holyfield,0.16466269205803596,0.1706852261582426,0.11788876569178786,False
1,1,Rachel Hunter,0.17345637094375504,0.1780486833531712,0.1403682285915635,False
1,1,Joey McIntyre,0.16277325893111835,0.1790760915723474,0.07428397585565105,False
1,1,Trista Sutter,0.16564072386251322,0.17620551161646933,0.03767918482538568,False
1,2,John O'Hurley,0.1711218227340125,0.18254526512590366,0.030153709608961132,False
1,2,Kelly Monaco,0.20176411748923895,0.18087326033800516,0.11657696181627841,False
1,2,Evander Holyfield,0.25283796042958206,0.18407664037278892,0.03991148883216067,False
1,2,Rachel Hunter,0.1618767917986009,0.17150292763736286,0.11790367456265693,False
1,2,Joey McIntyre,0.1764391373553037,0.180445095678568,0.0946549583033629,False
1,2,Trista Sutter,0.03596017019326159,0.030035133942608337,0.8236366213903392,True
1,3,John O'Hurley,0.2086504270283729,0.20072818550502577,0.06986189320112868,False
1,3,Kelly Monaco,0.25268860677002225,0.20252471204160066,0.12250615875343607,False
1,3,Evander Holyfield,0.1059462001890571,0.10870762198242671,0.13230141519429195,True
1,3,Rachel Hunter,0.21475227433566002,0.21252498312385884,0.02505270461196052,False
1,3,Joey McIntyre,0.21796249167688753,0.20733264481844266,0.05239026124010304,False
1,4,John O'Hurley,0.24707379008698305,0.18308447255713936,0.023152608305956335,False
1,4,Kelly Monaco,0.23329038378449918,0.2096985877467679,0.06898595338849245,False
1,4,Rachel Hunter,0.07193760031310376,0.057933363692723186,0.7066747541900739,True
1,4,Joey McIntyre,0.4476982258154134,0.20949531876367886,0.022011417600459438,False
1,5,John O'Hurley,0.33870659017719057,0.26976269281733856,0.013974134569595176,False
1,5,Kelly Monaco,0.3409572687835004,0.27189198051204727,0.012509285399829095,False
1,5,Joey McIntyre,0.32033614103930924,0.26232195658449015,0.015876864155016213,False
1,6,John O'Hurley,0.4905462171516769,0.29499887034900585,0.005304612274029452,False
1,6,Kelly Monaco,0.509453782848323,0.29499887034900585,0.005304612274029563,False
2,1,Tatum O'Neal,0.10057530917411482,0.1292865507877488,0.20523519851096983,False
2,1,Tia Carrere,0.10930145289029218,0.13267595712162988,0.1523242597172607,False
2,1,George Hamilton,0.11637763711079815,0.12667105816962976,0.14784136309390672,False
2,1,Lisa Rinna,0.10762799402716659,0.13053567804117236,0.1772065201473163,False
2,1,Stacy Keibler,0.10006279491539198,0.12157092278540237,0.1913159816188097,False
2,1,Jerry Rice,0.10244460232367542,0.12781992684246088,0.2004210978366917,False
2,1,Giselle Fernandez,0.10773387453941549,0.12157086083424161,0.2680070309707512,False
2,1,Master P,0.13216640144987848,0.13150274160810446,0.17056658881321363,False
2,1,Drew Lachey,0.10330107722884248,0.12675735404147845,0.20103098463574787,False
2,1,Kenny Mayne,0.02040885634042455,0.017895257716090816,0.8865068016018101,True
2,2,Tatum O'Neal,0.026144851901886427,0.023098785003669586,0.8154753996746047,True
2,2,Tia Carrere,0.12191833739813847,0.1364090743890604,0.1667803579621886,False
2,2,George Hamilton,0.11865513641752927,0.1489861254277437,0.11697252305782724,False
2,2,Lisa Rinna,0.1316078553426266,0.13620160963075348,0.09814297759918855,False
2,2,Stacy Keibler,0.10460799767997239,0.12747490738372164,0.25070398558204154,False
2,2,Jerry Rice,0.11305542930706398,0.13568107039208813,0.11064844098371251,False
