season,week,celebrity_name,judge_share,vote_share_mean,vote_share_std,certainty,eliminated_this_week
1,1,John O'Hurley,0.1834862385321101,0.16822124179368772,0.06558251574608844,0.5966605130482731,False
1,1,Kelly Monaco,0.11926605504587157,0.1644338474179836,0.06379601737396445,0.5750486135262678,False
1,1,Evander Holyfield,0.1651376146788991,0.15940524896498418,0.05963301368072461,0.5718607394831136,False
1,1,Rachel Hunter,0.1834862385321101,0.17211458993548395,0.06366976916770796,0.5998451156289897,False
1,1,Joey McIntyre,0.1834862385321101,0.16877390496350891,0.05816063162361603,0.6033189425694869,False
1,1,Trista Sutter,0.1651376146788991,0.16705116692435212,0.06508333206632393,0.5792375001156699,False
1,2,John O'Hurley,0.21487603305785125,0.17134921861797478,0.06326800789478516,0.611432684633948,False
1,2,Kelly Monaco,0.14049586776859505,0.1818773556965357,0.05541779562500238,0.6358023839084593,False
1,2,Evander Holyfield,0.11570247933884298,0.20901741014295902,0.06037318116905012,0.5692236526715425,False
1,2,Rachel Hunter,0.19834710743801653,0.16307113053563987,0.06052952639892067,0.5726171531731933,False
1,2,Joey McIntyre,0.17355371900826447,0.16702229627547877,0.05975401621554223,0.586712177213006,False
1,2,Trista Sutter,0.15702479338842976,0.10766258873141238,0.02641848163936697,0.8610762668341853,True
1,3,John O'Hurley,0.22641509433962265,0.21468973828776208,0.07410652643636033,0.5325479678189909,False
1,3,Kelly Monaco,0.19811320754716982,0.22215535419045201,0.07137277724871992,0.5294231733336279,False
1,3,Evander Holyfield,0.12264150943396226,0.15911336307984325,0.04294082971248464,0.6100777508739497,True
1,3,Rachel Hunter,0.24528301886792453,0.1969228479105452,0.07502179911598539,0.5775521581637323,False
1,3,Joey McIntyre,0.20754716981132076,0.20711869653139758,0.07083537560993337,0.5723034490198949,False
1,4,John O'Hurley,0.22826086956521738,0.2529362949968954,0.0634935680722646,0.5729895364799925,False
1,4,Kelly Monaco,0.2826086956521739,0.2544106049257482,0.08848026809956841,0.47503283241279903,False
1,4,Rachel Hunter,0.2717391304347826,0.1676943188557726,0.04063872301228834,0.740064028099559,True
1,4,Joey McIntyre,0.21739130434782608,0.32495878122158384,0.06994955627920645,0.5928797809223867,False
1,5,John O'Hurley,0.3698630136986301,0.33509243020332674,0.11150833566105452,0.32626502008043334,False
1,5,Kelly Monaco,0.3219178082191781,0.34294946522605657,0.10764729203686754,0.42030733192112213,False
1,5,Joey McIntyre,0.3082191780821918,0.32195810457061685,0.10204168101528206,0.3718501964096108,False
